Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","002","Africa","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2020","2020","t","84868.63","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","kg/ha","1115.9","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","t","92951.52","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","kg/ha","1132.6","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","t","94827.53","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","kg/ha","1145.2","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","t","95717.01","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2024","2024","kg/ha","1067.5","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2024","2024","t","89034.64","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01341","Apples","2017","2017","kg/ha","18024.8","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2017","2017","t","3090062.27","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01341","Apples","2018","2018","kg/ha","17442.8","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2018","2018","t","2893593.98","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01341","Apples","2019","2019","kg/ha","19381.3","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2019","2019","t","3104080.14","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01341","Apples","2020","2020","kg/ha","18648.4","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2020","2020","t","3279521.38","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01341","Apples","2021","2021","kg/ha","20530.3","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2021","2021","t","3583572.9","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01341","Apples","2022","2022","kg/ha","20995.6","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2022","2022","t","3753089.96","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01341","Apples","2023","2023","kg/ha","21596","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2023","2023","t","3748275.47","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01341","Apples","2024","2024","kg/ha","22025.1","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2024","2024","t","3894190.8","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01343","Apricots","2017","2017","kg/ha","7241.7","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01343","Apricots","2017","2017","t","556899.53","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01343","Apricots","2018","2018","kg/ha","8143.7","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01343","Apricots","2018","2018","t","531409.07","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01343","Apricots","2019","2019","kg/ha","7860.8","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01343","Apricots","2019","2019","t","499314.66","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01343","Apricots","2020","2020","kg/ha","7331.8","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01343","Apricots","2020","2020","t","434826.46","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01343","Apricots","2021","2021","kg/ha","7439.4","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01343","Apricots","2021","2021","t","440530.28","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01343","Apricots","2022","2022","kg/ha","7320.1","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01343","Apricots","2022","2022","t","427042.96","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01343","Apricots","2023","2023","kg/ha","7530","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01343","Apricots","2023","2023","t","416220.12","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01343","Apricots","2024","2024","kg/ha","7720.3","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01343","Apricots","2024","2024","t","392252.77","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01216","Artichokes","2017","2017","kg/ha","17342.7","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01216","Artichokes","2017","2017","t","525544.83","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01216","Artichokes","2018","2018","kg/ha","17343.5","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01216","Artichokes","2018","2018","t","476493.98","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01216","Artichokes","2019","2019","kg/ha","17643.1","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01216","Artichokes","2019","2019","t","492840.61","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01216","Artichokes","2020","2020","kg/ha","17313.4","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01216","Artichokes","2020","2020","t","514104.97","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01216","Artichokes","2021","2021","kg/ha","23056.7","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01216","Artichokes","2021","2021","t","693994.75","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01216","Artichokes","2022","2022","kg/ha","23114.4","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01216","Artichokes","2022","2022","t","655396.14","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01216","Artichokes","2023","2023","kg/ha","23298.5","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01216","Artichokes","2023","2023","t","802213.73","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01216","Artichokes","2024","2024","kg/ha","22687.5","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01216","Artichokes","2024","2024","t","808135.25","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01211","Asparagus","2017","2017","kg/ha","5667.2","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01211","Asparagus","2017","2017","t","1507.09","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01211","Asparagus","2018","2018","kg/ha","5823.9","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01211","Asparagus","2018","2018","t","1375.19","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01211","Asparagus","2019","2019","kg/ha","6367.6","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01211","Asparagus","2019","2019","t","1597.51","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01211","Asparagus","2020","2020","kg/ha","6010.3","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01211","Asparagus","2020","2020","t","1171.34","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01211","Asparagus","2021","2021","kg/ha","6195.9","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01211","Asparagus","2021","2021","t","1153.18","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01211","Asparagus","2022","2022","kg/ha","5948.4","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01211","Asparagus","2022","2022","t","1283.9","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01211","Asparagus","2023","2023","kg/ha","5284.4","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01211","Asparagus","2023","2023","t","1527.41","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01211","Asparagus","2024","2024","kg/ha","5266.8","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01211","Asparagus","2024","2024","t","1720.4","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01311","Avocados","2017","2017","kg/ha","7202","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","2017","2017","t","821869.82","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01311","Avocados","2018","2018","kg/ha","7291.4","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","2018","2018","t","923878.56","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01311","Avocados","2019","2019","kg/ha","7428","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","2019","2019","t","967822.59","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01311","Avocados","2020","2020","kg/ha","8253.1","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","2020","2020","t","1211748.15","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01311","Avocados","2021","2021","kg/ha","8522.4","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","2021","2021","t","1271381.63","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01311","Avocados","2022","2022","kg/ha","8848.3","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","2022","2022","t","1352392.67","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01311","Avocados","2023","2023","kg/ha","9637.5","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","2023","2023","t","1555864.5","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01311","Avocados","2024","2024","kg/ha","9413.4","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","2024","2024","t","1590055.02","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01708","Bambara beans, dry","2017","2017","kg/ha","582.7","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01708","Bambara beans, dry","2017","2017","t","206369.57","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01708","Bambara beans, dry","2018","2018","kg/ha","679.9","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01708","Bambara beans, dry","2018","2018","t","242480.68","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01708","Bambara beans, dry","2019","2019","kg/ha","644.9","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01708","Bambara beans, dry","2019","2019","t","238915.38","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01708","Bambara beans, dry","2020","2020","kg/ha","697.5","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01708","Bambara beans, dry","2020","2020","t","265378.8","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01708","Bambara beans, dry","2021","2021","kg/ha","617.8","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01708","Bambara beans, dry","2021","2021","t","232118.61","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01708","Bambara beans, dry","2022","2022","kg/ha","642.5","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01708","Bambara beans, dry","2022","2022","t","273795.4","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01708","Bambara beans, dry","2023","2023","kg/ha","625.7","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01708","Bambara beans, dry","2023","2023","t","256348.96","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01708","Bambara beans, dry","2024","2024","kg/ha","692.2","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01708","Bambara beans, dry","2024","2024","t","238007.07","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01312","Bananas","2017","2017","kg/ha","10898.6","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01312","Bananas","2017","2017","t","23280518.35","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01312","Bananas","2018","2018","kg/ha","11931.9","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01312","Bananas","2018","2018","t","25108548.1","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01312","Bananas","2019","2019","kg/ha","12418.7","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01312","Bananas","2019","2019","t","26074454.03","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01312","Bananas","2020","2020","kg/ha","12443.3","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01312","Bananas","2020","2020","t","27026671.51","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01312","Bananas","2021","2021","kg/ha","13269.1","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01312","Bananas","2021","2021","t","30117714.01","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01312","Bananas","2022","2022","kg/ha","13237.4","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01312","Bananas","2022","2022","t","30578399.03","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01312","Bananas","2023","2023","kg/ha","13203","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01312","Bananas","2023","2023","t","29717630.79","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01312","Bananas","2024","2024","kg/ha","13660.9","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01312","Bananas","2024","2024","t","31255891.13","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","0115","Barley","2017","2017","kg/ha","1278.4","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","0115","Barley","2017","2017","t","6833225.86","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","0115","Barley","2018","2018","kg/ha","1732.2","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","0115","Barley","2018","2018","t","7894828.63","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","0115","Barley","2019","2019","kg/ha","1674.3","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","0115","Barley","2019","2019","t","6834356.82","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","0115","Barley","2020","2020","kg/ha","1298","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","0115","Barley","2020","2020","t","5902741.94","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","0115","Barley","2021","2021","kg/ha","1731.4","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","0115","Barley","2021","2021","t","6943465.32","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","0115","Barley","2022","2022","kg/ha","1353.9","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","0115","Barley","2022","2022","t","5036641.64","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","0115","Barley","2023","2023","kg/ha","1582.5","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","0115","Barley","2023","2023","t","5453021.62","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","0115","Barley","2024","2024","kg/ha","1669.3","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","0115","Barley","2024","2024","t","5195436.75","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","2017","2017","kg/ha","885.6","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01701","Beans, dry","2017","2017","t","7632812.23","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","2018","2018","kg/ha","847.7","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01701","Beans, dry","2018","2018","t","7210932.97","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","2019","2019","kg/ha","784.1","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01701","Beans, dry","2019","2019","t","6878147.81","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","2020","2020","kg/ha","819.8","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01701","Beans, dry","2020","2020","t","7591368.48","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","2021","2021","kg/ha","780.9","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01701","Beans, dry","2021","2021","t","7331852.46","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","2022","2022","kg/ha","811.4","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01701","Beans, dry","2022","2022","t","7515600.02","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","2023","2023","kg/ha","803.7","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01701","Beans, dry","2023","2023","t","7742604.32","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01701","Beans, dry","2024","2024","kg/ha","829.5","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01701","Beans, dry","2024","2024","t","7894621.89","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","24310.01","Beer of barley, malted","2017","2017","t","13238349","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","24310.01","Beer of barley, malted","2018","2018","t","13515020.62","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","24310.01","Beer of barley, malted","2019","2019","t","13399870","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","24310.01","Beer of barley, malted","2020","2020","t","12518569","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","24310.01","Beer of barley, malted","2021","2021","t","13648511","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","24310.01","Beer of barley, malted","2022","2022","t","14045605","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","24310.01","Beer of barley, malted","2023","2023","t","14185618.75","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","02960.01","Beeswax","2017","2017","t","16315.83","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","02960.01","Beeswax","2018","2018","t","16477.21","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","02960.01","Beeswax","2019","2019","t","14686.81","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","02960.01","Beeswax","2020","2020","t","15326.32","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","02960.01","Beeswax","2021","2021","t","18609.58","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","02960.01","Beeswax","2022","2022","t","16174.99","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","02960.01","Beeswax","2023","2023","t","16676.52","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","02960.01","Beeswax","2024","2024","t","17644.7","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01355.01","Blueberries","2017","2017","kg/ha","4759.2","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01355.01","Blueberries","2017","2017","t","15856.72","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01355.01","Blueberries","2018","2018","kg/ha","4705.2","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01355.01","Blueberries","2018","2018","t","18000","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01355.01","Blueberries","2019","2019","kg/ha","4689.9","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01355.01","Blueberries","2019","2019","t","26000","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01355.01","Blueberries","2020","2020","kg/ha","4694.6","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01355.01","Blueberries","2020","2020","t","34000","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01355.01","Blueberries","2021","2021","kg/ha","4679.5","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01355.01","Blueberries","2021","2021","t","44140","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01355.01","Blueberries","2022","2022","kg/ha","4749.1","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01355.01","Blueberries","2022","2022","t","54568","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01355.01","Blueberries","2023","2023","kg/ha","4748.9","E","Estimated value",""
